street_address,city,state,zip_code,lat,lng
5815 Eastern Avenue,Hyattsville,MD,20782,38.9613383,-76.9951821
200 Rosewick Road,La Plata,MD,20646,38.5560233,-76.9843327
10501 Greenbelt Rd,Lanham,MD,20706,38.9878679,-76.8223605
7546 Annapolis Rd,Lanham,MD,20784,38.9515775,-76.88757679999999
10480 Campus Way South,Largo,MD,20774,38.8949488,-76.8272268
1009 Fairlawn St,Laurel,MD,20707,39.0967584,-76.8557986
11740 Rousby Hall Road,Lusby,MD,20657,38.374326,-76.4422993
4119 Branch Ave,Marlow Heights,MD,20748,38.83242509999999,-76.9444111
8905 Belair Rd,Nottingham,MD,21236,39.3969977,-76.4795338
1155 Annapolis Road,Odenton,MD,21113,39.0801093,-76.6899059
18140 Village Center,Olney,MD,20832,39.1532399,-77.0645079
10210 Mill Run Circle,Owings Mills,MD,21117,39.4083295,-76.7893319
20 Audrey Lane,Oxon Hill,MD,20745,38.8171421,-77.0025564
7709 Harford Rd,Parkville,MD,21234,39.3724825,-76.54170479999999
4315 Mountain Rd,Pasadena,MD,21122,39.1199651,-76.51139479999999
3757 Old Court Rd,Pikesville,MD,21208,39.3772313,-76.7237316
7919 Tuckerman La,Potomac,MD,20854,39.0410802,-77.15673989999999
9812 Falls Road,Potomac,MD,20854,39.0177757,-77.2112343
655 Solomon's Island Rd North,Prince Frederick,MD,20678,38.5543959,-76.5934305
11604 Reisterstown Road,Reisterstown,MD,21136,39.440755,-76.80812089999999
12051 Rockville Pike,Rockville,MD,20852,39.0561404,-77.11624599999999
625 Hungerford Drive,Rockville,MD,20850,39.09255599999999,-77.1519316
9719 Traville Gateway Drive,Rockville,MD,20850,39.0915296,-77.2038209
573 Gov Ritchie Hwy,Severna Park,MD,21146,39.076721,-76.5432581
11221 New Hampshire Ave,Silver Spring,MD,20904,39.04101319999999,-76.9888776
1280 East West Hwy,Silver Spring,MD,20910,38.9919894,-77.0315286
13781 Connecticut Avenue,Silver Spring,MD,20906,39.07989300000001,-77.0787653
3860 International Dr,Silver Spring,MD,20906,39.102523,-77.076188
8750 Arliss St,Silver Spring,MD,20901,38.9994615,-77.0025564
2145 York Road,Timonium,MD,21093,39.4435602,-76.62456829999999
8100 Loch Raven Blvd,Towson,MD,21286,39.3871214,-76.57690769999999
5700 Southeast Crain Hwy,Upper Marlboro,MD,20772,38.8111077,-76.7370678
3297 Crain Highway,Waldorf,MD,20603,38.6232011,-76.9170391
405 N Center St,Westminster,MD,21157,39.5739844,-76.98230769999999
2900 University Boulevard West,Wheaton,MD,20902,39.0374908,-77.0586263
3131 Duke Street,Alexandria,VA,22314,38.8090499,-77.0843266
5870 Kingstowne Blvd,Alexandria,VA,22315,38.7728202,-77.13719119999999
5870 Kingstowne Blvd,Alexandria,VA,22315,38.7728202,-77.13719119999999
6200 Little River Turnpike,Alexandria,VA,22312,38.8185445,-77.1399639
621 East Glebe Road,Alexandria,VA,22305,38.8324207,-77.0506516
6800 Richmond Hwy,Alexandria,VA,22306,38.770805,-77.08387689999999
6980 Braddock Road,Annandale,VA,22003,38.813375,-77.1858097
7137 Columbia Pike,Annandale,VA,22003,38.8305262,-77.1920676
2501 9th Road South,Arlington,VA,22204,38.8640765,-77.0845518
2901-11 S Glebe Rd,Arlington,VA,22206,38.8457995,-77.0687684
3115 Lee Hwy,Arlington,VA,22201,38.8968675,-77.0959264
3450 Washington Blvd,Arlington,VA,22201,38.8856093,-77.1029398
43330 Junction Plaza,Ashburn,VA,20147,39.03502890000001,-77.5008335
43670 Greenway Corp Drive,Ashburn,VA,20147,39.0094214,-77.49153679999999
44110 Ashburn Shopping Plz,Ashburn,VA,20147,39.044374,-77.47361200000002
6011 Burke Ctr Parkway,Burke,VA,22015,38.7872126,-77.2976192
14125 St Germain Dr,Centreville,VA,20121,38.8361927,-77.43825129999999
5615 Stone Rd,Centreville,VA,20120,38.8541493,-77.4492217
25050 Riding Plaza,Chantilly,VA,20152,38.9245745,-77.5205584
1900 Abbey Road,Charlottesville,VA,22911,38.029499,-78.4462415
5740 Union Mill Rd,Clifton,VA,20124,38.8344507,-77.41380579999999
4309 Dale Blvd,Dale City,VA,22193,38.6459428,-77.33953149999999
5469 Mapledale Plaza,Dale City,VA,22193,38.6619393,-77.3670759
10653 Braddock Road,Fairfax,VA,22032,38.8250036,-77.3154818
13043 Lee Jackson Mem Hwy,Fairfax,VA,22033,38.880221,-77.39840319999999
9400 Fairfax Boulevard,Fairfax,VA,22031,38.8649989,-77.2703531
1230 W Broad St,Falls Church,VA,22046,38.8948874,-77.18884969999999
3480 S Jefferson St,Falls Church,VA,22041,38.8498795,-77.1188531
6360 Seven Corners Center,Falls Church,VA,22044,38.8686644,-77.1510714
7235 Arlington Blvd,Falls Church,VA,22042,38.8645538,-77.19578249999999
35 Town And Country Rd,Falmouth,VA,22405,38.3090744,-77.42791609999999
1245 Jefferson Davis Hwy,Fredericksburg,VA,22401,38.3067824,-77.4819382
550 Celebrate Virginia Parkway,Fredericksburg,VA,22406,38.3596522,-77.5219919
5701 Plank Road,Fredericksburg,VA,22407,38.2932703,-77.5671887
7575 Linton Hall Road,Gainesville,VA,20155,38.7931305,-77.60832359999999
5581 Merchants View Square,Haymarket,VA,20169,38.8444609,-77.641576
13330 Franklin Farm Rd,Herndon,VA,20171,38.9087188,-77.40645219999999
2425 Centreville Road,Herndon,VA,20171,38.9504512,-77.4077913
2551 John Milton Dr,Herndon,VA,20171,38.92672049999999,-77.3749702
12445 Hedges Run Dr,Lake Ridge,VA,22192,38.686059,-77.3113523
61 Catoctin Circle NE,Leesburg,VA,20176,39.1114915,-77.5525379
635 Potomac Station Dr,Leesburg,VA,20176,39.0984313,-77.5270128
8941 Ox Rd,Lorton,VA,22079,38.7154897,-77.2623838
10100 Dumfries Road,Manassas,VA,20110,38.7378243,-77.4748808
8025 Sudley Rd,Manassas,VA,20109,38.78119909999999,-77.5093366
1454 Chain Bridge Rd,McLean,VA,22101,38.9328446,-77.1804472
2932 Chain Bridge Road,Oakton,VA,22124,38.8839659,-77.3001518
1000 East Main Street,Purcellville,VA,20132,39.1354518,-77.7003142
1450 North Point Village Ctr,Reston,VA,20194,38.979158,-77.35029879999999
10346 Courthouse Road,Spotsylvania,VA,22553,38.2452697,-77.52915879999999
6364A Springfield Plaza,Springfield,VA,22150,38.7820389,-77.1882356
7501 Huntsman Blvd,Springfield,VA,22153,38.7518759,-77.2639528
8074 Rolling Road,Springfield,VA,22153,38.7404206,-77.21276139999999
8320 Old Keene Mill Rd,Springfield,VA,22152,38.7808237,-77.2324323
8970 Burke Lake Road,Springfield,VA,22151,38.80944,-77.25436499999999
317 Worth Avenue,Stafford,VA,22554,38.4768056,-77.41718709999999
21000 Southbank Street,Sterling,VA,20165,39.0342662,-77.3957798
21800 Town Center Plaza,Sterling,VA,20164,39.01270179999999,-77.3713846
359 Maple Avenue East,Vienna,VA,22180,38.9052843,-77.2582061
41 West Lee Hwy,Warrenton,VA,20186,38.7284939,-77.79299
